branch_id,branch_label,language,trigger_keywords,chat_open_template,intake_questions,documents_hint,cta
fiscal_contable,Asesoría Fiscal y Contable,es,iva | irpf | impuestos | contabilidad | libros | cuentas anuales | inspección | requerimiento | hacienda | deuda | recaudación,"Entendido: tema fiscal/contable. En Altiben podemos ayudar con contabilidad, declaraciones y liquidaciones, libros oficiales, cuentas anuales y gestiones/recursos ante la Administración.

Para orientarte rápido:
1) ¿Eres particular, autónomo o empresa?
2) ¿Qué necesitas exactamente (declaración, contabilidad, cuentas anuales, requerimiento/inspección)?
3) ¿Hay algún plazo o carta/notificación?

Con eso te indico qué documentación preparar y el siguiente paso.","¿Eres particular, autónomo o empresa? || ¿En qué provincia/ciudad es el asunto? || ¿Qué necesitas exactamente (declaración, contabilidad, cuentas anuales, requerimiento/inspección)? || ¿Hay algún plazo o notificación oficial?",Notificación/requerimiento (si existe) || Últimas declaraciones presentadas || Resumen ingresos/gastos || Comunicaciones previas,"Si quieres, lo dejo registrado y lo traslado al equipo. Puedes contactar con Altiben por email (info@altiben.com) o por teléfono (934191188)."
fiscal_contable,Налоговая и бухгалтерская поддержка,ru,налоги | декларация | бухгалтерия | учёт | годовая отчётность | требование | проверка | инспекция | долг,"Понял: налоговый/бухгалтерский вопрос. В Altiben ведут бухгалтерию, декларации и расчёты налогов, “libros oficiales”, годовую отчётность (“cuentas anuales”) и коммуникации/обжалования с налоговой администрацией.

Чтобы быстро сориентировать:
1) Вы частное лицо, autónomo или компания?
2) Что нужно: декларация/учёт/годовая отчётность/ответ на требование/проверка?
3) Есть дедлайн или письмо?

После этого дам чек‑лист документов и следующий шаг.","Вы частное лицо, autónomo или компания? || В какой провинции/городе вопрос? || Что именно нужно (декларация, бухгалтерия, cuentas anuales, требование/проверка)? || Есть ли срок/уведомление?",Письмо/требование (если есть) || Последние поданные декларации || Свод доходов/расходов || Предыдущая переписка,"Могу оформить запрос и передать в Altiben. Контакты: info@altiben.com, телефон 934191188, адрес Calle París 45–47 (Barcelona)."
laboral,Asesoría Laboral,es,nómina | nomina | seguridad social | contrato | despido | finiquito | ere | juicio laboral | alta | baja,"Entendido: tema laboral. Altiben trabaja nóminas, seguros sociales, altas/bajas en Seguridad Social, contratos, finiquitos, despidos, ERE, conciliaciones y juicios laborales.

1) ¿Eres empresa o trabajador?
2) ¿Cuál es el problema principal (contrato, nómina, despido, deuda SS, juicio)?
3) ¿Fechas clave y plazo?

Con esto preparo el siguiente paso y documentación.","¿Eres empresa o trabajador? || ¿Cuál es el problema principal (contrato, nómina, despido, deuda SS, juicio)? || ¿Fechas clave y plazo? || ¿Qué documentos tienes (contrato, nóminas, cartas, comunicaciones)?",Contrato || Nóminas || Carta de despido o comunicaciones || Vida laboral si la tienes,"Si quieres, lo dejo registrado y lo traslado al equipo. Puedes contactar con Altiben por email (info@altiben.com) o por teléfono (934191188)."
laboral,Трудовое сопровождение,ru,трудовой | зарплата | увольнение | контракт | взносы | seguridad social | ere | суд,"Понял: трудовой вопрос. В Altiben делают nóminas, взносы/Seguridad Social, altas/bajas, контракты, finiquitos, despidos, ERE, conciliaciones и трудовые процессы.

1) Вы работодатель или работник?
2) В чём суть: контракт/зарплата/увольнение/долг SS/суд?
3) Ключевые даты и дедлайн?

После этого дам план и документы.","Вы работодатель или работник? || Суть: контракт/зарплата/увольнение/долг SS/суд? || Ключевые даты и дедлайн? || Какие документы есть (контракт, nóminas, письма, переписка)?",Контракт || Nóminas || Письмо/уведомления || Vida laboral (если есть),"Могу оформить запрос и передать в Altiben. Контакты: info@altiben.com, телефон 934191188, адрес Calle París 45–47 (Barcelona)."
juridica,Asesoría Jurídica,es,civil | administrativo | mercantil | juicio | demanda | sociedad | acciones | disolución | constitución,"Entendido: asesoría jurídica. Altiben cubre procesos civiles, administrativos, mercantiles y laborales, y asesoramiento sobre sociedades (constitución/disolución) y compraventa de acciones.

1) ¿De qué tipo es el asunto (civil/administrativo/mercantil/laboral)?
2) ¿Está ya en trámite judicial o aún no?
3) ¿Hay plazos (notificación, citación, requerimiento)?","¿Qué tipo de asunto es (civil/administrativo/mercantil/laboral)? || ¿En qué fase está (previo, demanda presentada, vista, recurso)? || ¿Hay plazos o notificaciones? || ¿Qué documentos tienes (contratos, demanda, comunicaciones)?",,"Si quieres, lo dejo registrado y lo traslado al equipo. Puedes contactar con Altiben por email (info@altiben.com) o por teléfono (934191188)."
juridica,Юридическое сопровождение,ru,суд | иск | гражданское | административное | коммерческое | общество | доля | акции | ликвидация,"Понял: юридическое сопровождение. В Altiben ведут civil/administrativo/mercantil/laboral процессы и консультируют по обществам (создание/ликвидация) и купле‑продаже акций.

1) Тип: гражданское/админ/коммерческое/трудовое?
2) Уже суд/процедура или ещё нет?
3) Есть сроки по уведомлению/повестке?","Какой тип дела (гражданское/админ/коммерческое/трудовое)? || Стадия (до суда/иск подан/заседание/обжалование)? || Есть сроки/уведомления? || Какие документы есть (договоры, иск, переписка)?",,"Могу оформить запрос и передать в Altiben. Контакты: info@altiben.com, телефон 934191188, адрес Calle París 45–47 (Barcelona)."
patrimonial,Asesoría Patrimonial,es,patrimonio | renta | complementaria | alegaciones | recurso,"Entendido: patrimonio/renta. Altiben gestiona confección y tramitación, complementarias, alegaciones y recursos.

1) ¿Qué necesitas: renta/patrimonio, complementaria o recurso/alegaciones?
2) ¿Cuál es el motivo (error, omisión, requerimiento)?
3) ¿Plazo y documentos disponibles?","¿Qué trámite necesitas (renta/patrimonio, complementaria, alegaciones/recurso)? || ¿Motivo? || ¿Plazo? || ¿Documentos disponibles?",,"Si quieres, lo dejo registrado y lo traslado al equipo. Puedes contactar con Altiben por email (info@altiben.com) o por teléfono (934191188)."
patrimonial,Патримониальная поддержка,ru,патримони | renta | допдекларация | возражение | обжалование,"Понял: renta/patrimonio. В Altiben делают подачу/сопровождение, “complementarias”, а также “alegaciones y recursos”.

1) Что именно: доп.декларация / возражения‑обжалование / сопровождение декларации?
2) Причина: ошибка/пропуск/требование?
3) Дедлайн и какие документы есть?","Какой процесс (renta/patrimonio, complementaria, alegaciones/recurso)? || Причина? || Срок? || Документы?",,"Могу оформить запрос и передать в Altiben. Контакты: info@altiben.com, телефон 934191188, адрес Calle París 45–47 (Barcelona)."
seguros,Asesoría de Seguros,es,seguro | póliza | poliza | hogar | vida | auto | aseguradora | siniestro,"Entendido: seguros. Altiben asesora sobre pólizas y la relación cliente/aseguradora (hogar, vida, automóvil).

1) ¿Qué tipo de seguro es?
2) ¿Qué ocurrió y cuándo?
3) ¿Tienes póliza o número de expediente?",Tipo de seguro || Hecho y fecha || ¿Número de póliza/expediente? || ¿Qué te respondió la aseguradora (si aplica)?,,"Si quieres, lo dejo registrado y lo traslado al equipo. Puedes contactar con Altiben por email (info@altiben.com) o por teléfono (934191188)."
seguros,Страховое сопровождение,ru,страховка | полис | страховой случай | дом | жизнь | авто | страховая,"Понял: страховой вопрос. Altiben консультируют по полисам и ведут коммуникацию клиент–страховая (hogar/vida/auto).

1) Тип страховки?
2) Что случилось и когда?
3) Есть полис/номер дела?",Тип страховки || Событие и дата || Номер полиса/дела? || Что ответила страховая (если было),,"Могу оформить запрос и передать в Altiben. Контакты: info@altiben.com, телефон 934191188, адрес Calle París 45–47 (Barcelona)."
consultoria_empresas,Consultoría de Empresas,es,valoración | valoracion | viabilidad | análisis financiero | analisis financiero | fusión | fusion | adquisición | adquisicion | liquidación | liquidacion,"Entendido: consultoría empresarial. Altiben ofrece valoración de empresas, análisis económico‑financiero, planes de viabilidad, análisis contable y procesos de fusión/absorción/adquisición/liquidación.

1) ¿Qué objetivo tienes (valoración, viabilidad, M&A, diagnóstico)?
2) Sector y tamaño aproximado.
3) ¿Para cuándo lo necesitas?",Objetivo || Sector || Tamaño aproximado || Plazo || ¿Hay estados financieros disponibles?,,"Si quieres, lo dejo registrado y lo traslado al equipo. Puedes contactar con Altiben por email (info@altiben.com) o por teléfono (934191188)."
consultoria_empresas,Консалтинг для компаний,ru,оценка бизнеса | viability | финанализ | слияние | поглощение | покупка бизнеса | ликвидация,"Понял: консалтинг для бизнеса. Altiben делают valuation, анализ финсостояния, планы жизнеспособности, анализ отчётности и сопровождение M&A/ликвидации.

1) Цель: оценка/viability/M&A/диагностика?
2) Отрасль и масштаб.
3) Сроки?",Цель || Отрасль || Масштаб || Срок || Есть ли отчётность?,,"Могу оформить запрос и передать в Altiben. Контакты: info@altiben.com, телефон 934191188, адрес Calle París 45–47 (Barcelona)."
centro_negocios,Centro de Negocios,es,despacho | sala de reunión | sala de reuniones | coworking | domiciliación | domiciliacion | oficina | correspondencia,"Entendido: centro de negocios (Barcelona). Altiben ofrece alquiler de despachos/salas, domiciliación fiscal y gestión de dirección (correspondencia, llamadas, etc.).

1) ¿Qué necesitas: despacho, sala, coworking o domiciliación?
2) ¿Para cuántas personas y con qué frecuencia?
3) ¿Plazo (días/meses)?",Servicio (despacho/sala/coworking/domiciliación) || Personas/frecuencia || Plazo || ¿Necesitas gestión de correspondencia/llamadas?,,"Si quieres, lo dejo registrado y lo traslado al equipo. Puedes contactar con Altiben por email (info@altiben.com) o por teléfono (934191188)."
centro_negocios,Бизнес-центр,ru,офис | кабинет | переговорная | coworking | домицилиация | адрес | корреспонденция,"Понял: бизнес‑центр. У Altiben есть аренда кабинетов/переговорных, domiciliación fiscal и управление адресом (корреспонденция/звонки).

1) Что нужно: кабинет/переговорка/coworking/domiciliación?
2) Сколько людей и как часто?
3) На какой срок?",Услуга (кабинет/переговорка/coworking/domiciliación) || Сколько людей/частота || Срок || Нужны ли услуги адреса (почта/звонки)?,,"Могу оформить запрос и передать в Altiben. Контакты: info@altiben.com, телефон 934191188, адрес Calle París 45–47 (Barcelona)."
extranjeros,Servicios para extranjeros,es,extranjería | extranjeria | visado | residencia | reubicación | reubicacion | abrir negocio | importación | importacion | exportación | exportacion | inmueble | activos,"Entendido: servicios para extranjeros. Altiben trabaja extranjería/visados, apertura de negocio, import‑export, reubicación y compra/venta de inmuebles y gestión de activos.

1) ¿Cuál es tu objetivo principal (visado/residencia, abrir negocio, reubicación, import‑export, inmuebles)?
2) ¿Dónde estás ahora y cuál es tu estatus?
3) ¿Hay plazos?",Objetivo principal || País/ciudad actual || Estatus actual || Plazo || Documentación disponible,,"Si quieres, lo dejo registrado y lo traslado al equipo. Puedes contactar con Altiben por email (info@altiben.com) o por teléfono (934191188)."
extranjeros,Услуги для иностранцев,ru,внж | виза | extranjería | релокация | открыть бизнес | импорт | экспорт | недвижимость | активы,"Понял: услуги для иностранцев. В Altiben есть направления: extranjería/визы, открытие бизнеса, import/export, релокация, недвижимость и управление активами.

1) Ваша цель: ВНЖ/виза, бизнес, релокация, импорт/экспорт, недвижимость?
2) Где вы сейчас и какой статус?
3) Есть сроки?",Цель || Где вы сейчас || Текущий статус || Сроки || Какие документы есть,,"Могу оформить запрос и передать в Altiben. Контакты: info@altiben.com, телефон 934191188, адрес Calle París 45–47 (Barcelona)."
trafico_dgt,Tráfico (DGT),es,dgt | cambio de nombre | transferencia | matriculación | matriculacion | baja | alta | duplicado | carné | carne,"Entendido: trámites DGT. Altiben gestiona cambio de nombre, matriculación (nuevo/importación UE), altas/bajas y duplicados/renovación según el caso.

1) ¿Qué trámite necesitas exactamente?
2) ¿Vehículo de España o importado?
3) ¿Hay urgencia o cita ya programada?",Trámite exacto || Vehículo local o importado || Plazo/urgencia || Documentos disponibles,,"Si quieres, lo dejo registrado y lo traslado al equipo. Puedes contactar con Altiben por email (info@altiben.com) o por teléfono (934191188)."
trafico_dgt,Trámites DGT,ru,dgt | смена владельца | перерегистрация | регистрация | снятие | дубликат | права,"Понял: процедуры DGT. В Altiben делают смену владельца, регистрацию (в т.ч. импорт из ЕС), altas/bajas и дубликаты/обновления по ситуации.

1) Какой именно процесс?
2) Авто местное или импорт?
3) Срочно или обычный срок?",Какой процесс || Местное или импорт || Срок/срочность || Документы,,"Могу оформить запрос и передать в Altiben. Контакты: info@altiben.com, телефон 934191188, адрес Calle París 45–47 (Barcelona)."
contacto,Contacto,es,contacto | teléfono | telefono | email | dirección | direccion | horario,"Contacto Altiben: email info@altiben.com, teléfono 934191188, oficina en Calle París 45–47 (entresuelo 1ª), Barcelona.",¿Prefieres email o teléfono para que te contacten?,,"Si quieres, lo dejo registrado y lo traslado al equipo. Puedes contactar con Altiben por email (info@altiben.com) o por teléfono (934191188)."
contacto,Контакты,ru,контакты | телефон | почта | email | адрес | как связаться,"Контакты Altiben: email info@altiben.com, телефон 934191188, офис Calle París 45–47 (entresuelo 1ª), Barcelona.",Как удобнее связаться: email или телефон?,,"Могу оформить запрос и передать в Altiben. Контакты: info@altiben.com, телефон 934191188, адрес Calle París 45–47 (Barcelona)."
